id,value
id_0,15.649992336236043
id_1,16.955495393201208
id_2,34.13213673234246
id_3,18.79357167606174
id_4,24.95176186172147
id_5,18.438388197327846
id_6,21.95892864513963
id_7,22.04991593362774
id_8,24.337723222060294
id_9,28.881415505294516
id_10,20.28851332939956
id_11,21.38760015091736
id_12,30.31983170633837
id_13,31.91951722909242
id_14,24.34914432788968
id_15,18.051381573987538
id_16,30.370837035527284
id_17,39.586088574914754
id_18,22.761248131810387
id_19,17.422911502359984
id_20,20.84402647822235
id_21,31.56067632703779
id_22,19.635320192353586
id_23,25.61267346763223
id_24,15.601634077166889
id_25,25.329586180395367
id_26,16.56237721783479
id_27,34.80270556796069
id_28,19.751103561783218
id_29,35.07580915720005
id_30,25.259229256170297
id_31,21.755102521280065
id_32,14.394046529039755
id_33,23.520462783390155
id_34,32.14733818576898
id_35,32.716901456103926
id_36,20.55011406544012
id_37,20.868052530557183
id_38,33.4132196443699
id_39,28.40774191085875
id_40,23.727459147042946
id_41,19.749455823814095
id_42,31.305642917551147
id_43,27.12120611213499
id_44,20.480965686059196
id_45,29.387673150255576
id_46,17.725577583903334
id_47,20.360631477652976
id_48,25.36147761327329
id_49,16.375180027266737
id_50,26.59518152025952
id_51,21.156955973346815
id_52,25.10298515873924
id_53,26.207504358123696
id_54,16.44042190813304
id_55,27.42103528902826
id_56,21.927682046113308
id_57,26.33027345701064
id_58,28.006072752517884
id_59,23.149986681495243
id_60,19.449543230760302
id_61,32.97898887314775
id_62,19.309578605113458
id_63,32.125825665524204
id_64,26.629176090643195
id_65,21.260744080984008
id_66,19.942820555588632
id_67,19.040950660002128
id_68,20.40080798445242
id_69,29.012695800735102
id_70,24.591186470733444
id_71,17.48294149817593
id_72,36.253988544603736
id_73,19.312071073717878
id_74,24.787692964677245
id_75,18.233128917311305
id_76,29.39960729198791
id_77,21.784976444756843
id_78,33.93271770693152
id_79,22.111514825997684
id_80,18.718314338495006
id_81,20.03893590485371
id_82,28.53464683976237
id_83,30.267560656941757
id_84,17.864467613540445
id_85,17.99129198667355
id_86,18.23226412114021
id_87,20.26153363506702
id_88,18.559177729449164
id_89,26.661407786578863
